"species","fem2N","sexual"
"Acanthoxyla_sp",36,0
"Clitarchus_hookeri",36,1
"Pachymorpha_sp.",34,1
"Podacanthus_wilkinsoni",36,1
"Acrophylla_titan",36,1
"Didymuria_sp.",33,1
"Tropidoderus_childrenii",34,1
"Ctenomorpha_sp.",30,1
"Extatosoma_tiaratum",38,1
"Lamponius_sp.",30,1
"Phobaeticus_sp.",52,1
"Oncotophasma_sp.",42,1
"Peruphasma_schultei",44,1
"Pseudophasma_sp.",24,1
"Phyllium_bioculatum",34,1
"Sungaya_inexpectata",44,0
"Orxines_macklottii",38,1
"Sipyloidea_sipylus",80,0
"Phaenopharos_khaoyaiensis",70,0
"Bacillus_atticus",34,0
"Bacillus_grandii_benazzii",34,1
"Bacillus_grandii_grandii",34,1
"Bacillus_lynceorum",51,0
"Bacillus_whitei",35,0
"Bacillus_rossius",36,1
"Leptynia_attenuata",36,1
"Leptynia_caprai",40,1
"Leptynia_montana",38,1
"Clonopsis_felicitatis",36,1
"Clonopsis_soumiae",72,0
"Clonopsis_gallica",54,0
"Clonopsis_maroccana",22,1
"Carausius_morosus",64,1
"Baculum_sp.",71,0
"Medauroidea_extradentata",38,0
"Timema_sp.",24,1
"Out_Aposthonia_borneensis",20,1
"Out_Haploembia_solieri",22,1
"Out_Metoligotoma_begae",22,1
"Out_Metoligotoma_ingens",22,1
